jobname,location,company,jobLink
Application Development Officer,Greater Bandung,PT. Tiki Jalur Nugraha Ekakurir (JNE),https://id.linkedin.com/jobs/view/application-development-officer-at-pt-tiki-jalur-nugraha-ekakurir-jne-4037034324?position=13&pageNum=0&refId=kFWsYbBuQX9B5jT9ftiecg%3D%3D&trackingId=vNDLCY%2BRPWhw%2Fs0OaHyvoQ%3D%3D
"Internship Opportunity for Business Management/Marketing students (based in Jakarta, Indonesia) October 2024 Intake","Jakarta, Indonesia",PETRONAS Lubricants International,https://id.linkedin.com/jobs/view/internship-opportunity-for-business-management-marketing-students-based-in-jakarta-indonesia-october-2024-intake-at-petronas-lubricants-international-4034133775?position=14&pageNum=0&refId=kFWsYbBuQX9B5jT9ftiecg%3D%3D&trackingId=wjhq9qZoF0CTZymIaxPkSg%3D%3D
Marketing Internship - PT Kalbe Blackmores Nutrition,"Jakarta, Jakarta, Indonesia",Kalbe Nutritionals (PT Sanghiang Perkasa),https://id.linkedin.com/jobs/view/marketing-internship-pt-kalbe-blackmores-nutrition-at-kalbe-nutritionals-pt-sanghiang-perkasa-3948515197?position=15&pageNum=0&refId=kFWsYbBuQX9B5jT9ftiecg%3D%3D&trackingId=v37cM0vZFx%2BuZ%2FkknorEbQ%3D%3D
Brand Executive,"Jakarta, Indonesia",PT Kapal Api Global,https://id.linkedin.com/jobs/view/brand-executive-at-pt-kapal-api-global-4032771258?position=16&pageNum=0&refId=kFWsYbBuQX9B5jT9ftiecg%3D%3D&trackingId=muQINoyRVL8XqzgOqEU%2FMA%3D%3D
Business Intelligence Officer,"Jakarta, Indonesia",Blibli.com,https://id.linkedin.com/jobs/view/business-intelligence-officer-at-blibli-com-4030101980?position=17&pageNum=0&refId=kFWsYbBuQX9B5jT9ftiecg%3D%3D&trackingId=VWYsM9rl%2BAYRULiS%2FTqBYg%3D%3D
Kalbe Nutritionals Internship,"Jakarta, Jakarta, Indonesia",Kalbe Nutritionals (PT Sanghiang Perkasa),https://id.linkedin.com/jobs/view/kalbe-nutritionals-internship-at-kalbe-nutritionals-pt-sanghiang-perkasa-3818183787?position=18&pageNum=0&refId=kFWsYbBuQX9B5jT9ftiecg%3D%3D&trackingId=v7W%2Bc3yXFDzJGlbe18dLzQ%3D%3D
Data Engineer Intern,"South Jakarta, Jakarta, Indonesia",PT Lion Super Indo,https://id.linkedin.com/jobs/view/data-engineer-intern-at-pt-lion-super-indo-4023312119?position=19&pageNum=0&refId=kFWsYbBuQX9B5jT9ftiecg%3D%3D&trackingId=uK22fd4xG9v%2BZYiiQGpCGw%3D%3D
Junior Data Analyst,"Jakarta, Indonesia",RedDoorz,https://id.linkedin.com/jobs/view/junior-data-analyst-at-reddoorz-4033834771?position=20&pageNum=0&refId=kFWsYbBuQX9B5jT9ftiecg%3D%3D&trackingId=CgVYJ3lvTH2L%2B0%2BAnehZxQ%3D%3D
"Officer Partnership E-Commerce, Electronic Emergency Category","Jakarta, Indonesia",PT Bank Mandiri (Persero) Tbk.,https://id.linkedin.com/jobs/view/officer-partnership-e-commerce-electronic-emergency-category-at-pt-bank-mandiri-persero-tbk-4028408757?position=21&pageNum=0&refId=kFWsYbBuQX9B5jT9ftiecg%3D%3D&trackingId=gcNLGWJMH2Wqyk8TQiGy1Q%3D%3D
Customs & Litigation Analyst,"South Jakarta, Jakarta, Indonesia",Coca-Cola Europacific Partners,https://id.linkedin.com/jobs/view/customs-litigation-analyst-at-coca-cola-europacific-partners-4018388891?position=22&pageNum=0&refId=kFWsYbBuQX9B5jT9ftiecg%3D%3D&trackingId=%2BvZf88bDnFYqOpuNx5lHiA%3D%3D
